show_id	type	title	director	cast	country	date_added	release_year	rating	duration	listed_in	description
s1	TV Show	Dawai Asmara		Hanna Aqiela, Tengku Putri Najuwa, Emelie Hanif, Zoey Rahman, Faiez Affandi, Wanny Mustahfah, Sherie Merlis, Mahmud Alibashah, Zalfa Zin, Kamal Ibrahim, Amanda Hariz, Alesha Hariz, Fathimah Az Zahra, Elya Miera Ismail		December 11, 2017	2016	TV-14	1 Season	International TV Shows, TV Dramas	Following life-changing traumas, two girls from different backgrounds fight to discover the identities of their biological parents.
s2	Movie	Democrats	Camilla Nielsson		Denmark, Zimbabwe	April 25, 2016	2014	NR	99 min	Documentaries, International Movies	After Zimbabwe's disputed 2008 election results, political enemies are asked to write a new constitution and save their country from a bleak future.
s3	TV Show	The 10 Sins		Abdul Mohsen Alnimer, Haifa Hussien, Qahtan Alqahtani, Mohammed Sefer, Abdulla Bu Shehri		March 22, 2019	2018	TV-14	1 Season	International TV Shows, TV Dramas	In this social drama of sin and remorse, a man reels at the discovery that his wife has been unfaithful, and gives her an ultimatum.
s4	Movie	Jo Koy: Comin' In Hot	Shannon Hartman	Jo Koy	United States	June 12, 2019	2019	TV-MA	60 min	Stand-Up Comedy	Comedian Jo Koy takes center stage in Hawaii and shares his candid take on cultural curiosities, filter-free fatherhood and more.
s5	Movie	Chico Bon Bon and the Very Berry Holiday	Darragh O'Connell	Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Emma Sloan Jacobs, Joanna Lewis, Matt Mercer, Ian Nikus		December 3, 2020	2020	TV-Y	25 min	Children & Family Movies	The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster.
s6	TV Show	Empire Games		Jim O'Brien	Czech Republic, United States	October 5, 2018	2018	TV-14	1 Season	Docuseries	Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.
s7	TV Show	Angelina Ballerina				May 1, 2021	2010	TV-Y	2 Seasons	British TV Shows, Kids' TV	Angelina is crazy about ballet dancing, even though she's a young mouse, and studies hard with a famous teacher to become a prima ballerina.
s8	Movie	The Christmas Chronicles: Part Two	Chris Columbus	Kurt Russell, Goldie Hawn, Darby Camp, Jahzir Bruno, Julian Dennison, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson	Canada	November 25, 2020	2020	PG	115 min	Children & Family Movies, Comedies	Unhappy over her momâ€™s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas.
s9	Movie	Cuties	MaÃ¯mouna DoucourÃ©	Fathia Youssouf, MÃ©dina El Aidi-Azouni, Esther Gohourou, Ilanah Cami-Goursolas, Myriam Hamma, MaÃ¯mouna Gueye, Mbissine ThÃ©rÃ¨se Diop, Demba Diaw, Mamadou SamakÃ©	France	September 9, 2020	2020	TV-MA	96 min	Dramas, International Movies	Eleven-year-old Amy starts to rebel against her conservative familyâ€™s traditions when she becomes fascinated with a free-spirited dance crew.
s10	TV Show	Misaeng		Im Si-wan, Kang So-ra, Lee Sung-min, Kang Ha-neul, Byun Yo-han, Kim Dae-myeong, Shin Eun-jung, Park Hae-joon	South Korea	August 8, 2019	2014	TV-MA	1 Season	International TV Shows, Korean TV Shows, TV Dramas	Equipped with nothing more than a GED and strategies for the game of go, an office intern gets thrown into the cold reality of the corporate world.
